VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x 0  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  00000000
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00001 | 00400004 | 20100005 0 0  0  0 16 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 22110003 1 0 16  0 17 | 00000000 00000005 | 00000000 00000000 |  0  00000000 ←ハザード発生 の値を見てた
  00003 | 00400008 | 22110003 1 0 16  0 17 | 00000000 00000000 | 00000005 00000000 |  0  00000000
  00004 | 00400008 | 22110003 0 0 16  0 17 | 00000000 00000000 | 00000000 00000000 | 16  00000005
  00005 | 0040000c | 16110003 1 0 16 17  0 | 00000005 00000003 | 00000000 00000000 |  0  00000000
  00006 | 0040000c | 16110003 1 0 16 17  0 | 00000000 00000000 | 00000008 00000000 |  0  00000000
  00007 | 0040000c | 16110003 0 0 16 17  0 | 00000000 00000000 | 00000000 00000000 | 17  00000008
  00008 | 00400018 | 02319020 0 0 17 17 18 | 00000005 00000003 | 00000000 00000000 |  0  00000000
  00009 | 0040001c | 22100001 0 0 16  0 16 | 00000008 00000008 | 00000000 00000008 |  0  00000000
  0000a | 00400020 | 2402000a 0 0  0  0  2 | 00000005 00000001 | 00000010 00000008 |  0  00000000
  0000b | 00400024 | 0000000c 0 0  0  0  0 | 00000000 0000000a | 00000006 00000000 | 18  00000010
  0000c | 00400028 | 00000000 0 0  0  0  0 | 00000000 00000000 | 0000000a 00000000 | 16  00000006
  0000d | 0040002c | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  2  0000000a
  0000e | 00400030 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  cycle =      14
