VCD info: dumpfile mips.vcd opened for output.

wire en_hzd = 1'b1; /* ハザード検出 */
wire en_fwd = 1'b1; /* フォワーディング */
wire en_dly = 1'b0; /* 遅延分岐 */

  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  00000000
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 34300000 0 1  1  0 16 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 24040002 0 0  0  0  4 | 10010000 00000000 | 10010000 00000000 |  0  00000000
  00004 | 00400010 | ae040000 0 1 16  4  0 | 00000000 00000002 | 10010000 00000000 |  1  10010000
  00005 | 00400014 | 24040001 0 0  0  0  4 | 10010000 00000000 | 00000002 00000000 | 16  10010000
  00006 | 00400018 | ae040004 0 1 16  4  0 | 00000000 00000001 | 10010000 00000002 |  4  00000002
  00007 | 0040001c | 24040004 0 0  0  0  4 | 10010000 00000004 | 00000001 00000000 |  0  10010000
  00008 | 00400020 | ae040008 0 1 16  4  0 | 00000000 00000004 | 10010004 00000001 |  4  00000001
  00009 | 00400024 | 24040003 0 0  0  0  4 | 10010000 00000008 | 00000004 00000000 |  0  10010004
  0000a | 00400028 | ae04000c 0 1 16  4  0 | 00000000 00000003 | 10010008 00000004 |  4  00000004
  0000b | 0040002c | 24020001 0 0  0  0  2 | 10010000 0000000c | 00000003 00000000 |  0  10010008
  0000c | 00400030 | 0000000c 0 0  0  0  0 | 00000000 00000001 | 1001000c 00000003 |  4  00000003
  0000d | 00400034 | 00108820 0 0  0 16 17 | 00000000 00000000 | 00000001 00000000 |  0  1001000c
  0000e | 00400038 | 200a0000 0 0  0  0 10 | 00000000 10010000 | 00000000 00000000 |  2  00000001
  0000f | 0040003c | 200b0000 0 0  0  0 11 | 00000000 00000000 | 10010000 10010000 |  0  00000000
  00010 | 00400040 | 8e280000 0 0 17  0  8 | 00000000 00000000 | 00000000 00000000 | 17  10010000
  00011 | 00400044 | 8e290004 0 0 17  0  9 | 10010000 00000000 | 00000000 00000000 | 10  00000000
  00012 | 00400048 | 0109602a 1 0  8  9 12 | 10010000 00000004 | 10010000 00000000 | 11  00000000
  00013 | 00400048 | 0109602a 0 1  8  9 12 | 00000000 00000000 | 10010004 00000000 |  8  00000002
  00014 | 0040004c | 15800002 1 0 12  0  0 | 00000002 00000001 | 00000000 00000000 |  9  00000001
