VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx 0 0  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  00000000
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00001 | 00400004 | 20100005 0 0  0  0 16 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 20110003 0 0  0  0 17 | 00000000 00000005 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 20120010 0 0  0  0 18 | 00000000 00000003 | 00000005 00000000 |  0  00000000
  00004 | 00400010 | 20130002 0 0  0  0 19 | 00000000 00000010 | 00000003 00000000 | 16  00000005
  00005 | 00400014 | 02114020 0 0 16 17  8 | 00000000 00000002 | 00000010 00000000 | 17  00000003
  00006 | 00400018 | 02114822 0 0 16 17  9 | 00000005 00000003 | 00000002 00000000 | 18  00000010
  00007 | 0040001c | 02115024 0 0 16 17 10 | 00000005 00000003 | 00000008 00000003 | 19  00000002
  00008 | 00400020 | 02115825 0 0 16 17 11 | 00000005 00000003 | 00000002 00000003 |  8  00000008
  00009 | 00400024 | 02116026 0 0 16 17 12 | 00000005 00000003 | 00000001 00000003 |  9  00000002
  0000a | 00400028 | 0232682a 0 0 17 18 13 | 00000005 00000003 | 00000007 00000003 | 10  00000001
  0000b | 0040002c | 00127082 0 0  0 18 14 | 00000003 00000010 | 00000006 00000003 | 11  00000007
  0000c | 00400030 | 00137880 0 0  0 19 15 | 00000000 00000010 | 00000001 00000010 | 12  00000006
  0000d | 00400034 | 2402000a 0 0  0  0  2 | 00000000 00000002 | 00000004 00000010 | 13  00000001
  0000e | 00400038 | 0000000c 0 0  0  0  0 | 00000000 0000000a | 00000008 00000002 | 14  00000004
  0000f | 0040003c | 00000000 0 0  0  0  0 | 00000000 00000000 | 0000000a 00000000 | 15  00000008
  00010 | 00400040 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  2  0000000a
  00011 | 00400044 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  cycle =      17
