VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  xxxxxxxx
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 343d7ffc 0 1  1  0 29 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 24100006 0 0  0  0 16 | 10010000 00007ffc | 10010000 00000000 |  0  00000000
  00004 | 00400010 | 24110001 0 0  0  0 17 | 00000000 00000006 | 10017ffc 00000000 |  1  10010000
  00005 | 00400014 | 00102021 0 1  0 16  4 | 00000000 00000001 | 00000006 00000000 | 29  10017ffc
  00006 | 00400018 | 0c10000a 0 0  0  0 31 | 00000000 00000006 | 00000001 00000000 | 16  00000006
  00007 | 00400028 | 00112821 0 0  0 17  5 | 00000000 0000000a | 00000006 00000006 | 17  00000001
  00008 | 0040002c | 23bdfff8 0 0 29  0 29 | 00000000 00000001 | 0040001c 00000000 |  4  00000006
  00009 | 00400030 | afbf0004 0 1 29 31  0 | 10017ffc fffffff8 | 00000001 00000001 | 31  0040001c
  0000a | 00400034 | 28880001 0 0  4  0  8 | 10017ff4 00000004 | 10017ff4 00000000 |  5  00000001
  0000b | 00400038 | 11000004 1 0  8  0  0 | 00000006 00000001 | 10017ff8 0040001c | 29  10017ff4
  0000c | 00400038 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017ff8
  0000d | 00400048 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  0000e | 0040004c | 70852802 0 0  4  5  5 | 10017ff4 00000000 | 00000000 00000000 |  0  00000000
  0000f | 00400050 | 0c10000a 0 0  0  0 31 | 00000006 00000001 | 10017ff4 00000006 |  0  00000000
  00010 | 00400028 | 2084ffff 0 0  4  0  4 | 00000000 0000000a | 00000006 00000001 |  0  10017ff4
  00011 | 0040002c | 23bdfff8 0 0 29  0 29 | 00000006 ffffffff | 00400054 00000000 |  5  00000006
  00012 | 00400030 | afbf0004 0 1 29 31  0 | 10017ff4 fffffff8 | 00000005 00000000 | 31  00400054
  00013 | 00400034 | 28880001 0 0  4  0  8 | 10017fec 00000004 | 10017fec 00000000 |  4  00000005
  00014 | 00400038 | 11000004 1 0  8  0  0 | 00000005 00000001 | 10017ff0 00400054 | 29  10017fec
