VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  xxxxxxxx
  00001 | 00400004 | 2011000d 0 0  0  0 17 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 2012000b 0 0  0  0 18 | 00000000 0000000d | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 72324002 0 1 17 18  8 | 00000000 0000000b | 0000000d 00000000 |  0  00000000
  00004 | 00400010 | 2402000a 0 0  0  0  2 | 0000000d 0000000b | 0000000b 00000000 | 17  0000000d
  00005 | 00400014 | 0000000c 0 0  0  0  0 | 00000000 0000000a | 0000008f 0000000b | 18  0000000b
  00006 | 00400018 | 00000000 0 0  0  0  0 | 00000000 00000000 | 0000000a 00000000 |  8  0000008f
  00007 | 0040001c | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  2  0000000a
  00008 | 00400020 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  cycle =       8
