VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  xxxxxxxx
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 34300000 0 1  1  0 16 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 24020001 0 0  0  0  2 | 10010000 00000000 | 10010000 00000000 |  0  00000000
  00004 | 00400010 | 3c011001 0 0  0  0  1 | 00000000 00000001 | 10010000 00000000 |  1  10010000
  00005 | 00400014 | 343d7ffc 0 1  1  0 29 | 00000000 00001001 | 00000001 00000000 | 16  10010000
  00006 | 00400018 | 24040006 0 0  0  0  4 | 10010000 00007ffc | 10010000 00000000 |  2  00000001
  00007 | 0040001c | ae040000 0 1 16  4  0 | 00000000 00000006 | 10017ffc 00000000 |  1  10010000
  00008 | 00400020 | 24020001 0 0  0  0  2 | 10010000 00000000 | 00000006 00000000 | 29  10017ffc
  00009 | 00400024 | 0000000c 0 0  0  0  0 | 00000000 00000001 | 10010000 00000006 |  4  00000006
  0000a | 00400028 | 23bdfff8 0 0 29  0 29 | 00000000 00000000 | 00000001 00000000 |  0  10010000
  0000b | 0040002c | afbf0004 0 1 29 31  0 | 10017ffc fffffff8 | 00000000 00000000 |  2  00000001
  0000c | 00400030 | 28880001 0 0  4  0  8 | 10017ff4 00000004 | 10017ff4 00000000 |  0  00000000
  0000d | 00400034 | 11000004 1 0  8  0  0 | 00000006 00000001 | 10017ff8 xxxxxxxx | 29  10017ff4
  0000e | 00400034 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017ff8
  0000f | 00400044 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  00010 | 00400048 | 00048020 0 0  0  4 16 | 10017ff4 00000000 | 00000000 00000000 |  0  00000000
  00011 | 0040004c | 0c100009 0 0  0  0 31 | 00000000 00000006 | 10017ff4 10010000 |  0  00000000
  00012 | 00400024 | 2084ffff 0 0  4  0  4 | 00000000 00000009 | 00000006 00000006 |  0  10017ff4
  00013 | 00400028 | 23bdfff8 0 0 29  0 29 | 00000006 ffffffff | 00400050 00000000 | 16  00000006
  00014 | 0040002c | afbf0004 0 1 29 31  0 | 10017ff4 fffffff8 | 00000005 00000000 | 31  00400050
  00015 | 00400030 | 28880001 0 0  4  0  8 | 10017fec 00000004 | 10017fec 00000000 |  4  00000005
