VCD info: dumpfile mips.vcd opened for output.
  cycle |  pc      |  inst    d f ra rb rd |  alu_a    alu_b   |  alu_q    ram_din | dst  reg_din
  xxxxx | xxxxxxxx | xxxxxxxx x x  x  x  x | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  xxxxx | 00400000 | 00000000 0 0  0  0  0 | xxxxxxxx xxxxxxxx | 00000000 xxxxxxxx |  x  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 xxxxxxxx |  0  xxxxxxxx
  00000 | 00400000 | 00000000 0 0  0  0  0 | 00000000 00000000 | 00000000 00000000 |  0  xxxxxxxx
  00001 | 00400004 | 3c011001 0 0  0  0  1 | 00000000 00000000 | 00000000 00000000 |  0  00000000
  00002 | 00400008 | 343d7ffc 0 1  1  0 29 | 00000000 00001001 | 00000000 00000000 |  0  00000000
  00003 | 0040000c | 3c011001 0 0  0  0  1 | 10010000 00007ffc | 10010000 00000000 |  0  00000000
  00004 | 00400010 | 34300000 0 1  1  0 16 | 00000000 00001001 | 10017ffc 00000000 |  1  10010000
  00005 | 00400014 | 24040006 0 0  0  0  4 | 10010000 00000000 | 10010000 00000000 | 29  10017ffc
  00006 | 00400018 | ae040000 0 1 16  4  0 | 00000000 00000006 | 10010000 00000000 |  1  10010000
  00007 | 0040001c | 24020001 0 0  0  0  2 | 10010000 00000000 | 00000006 00000000 | 16  10010000
  00008 | 00400020 | 0000000c 0 0  0  0  0 | 00000000 00000001 | 10010000 00000006 |  4  00000006
  00009 | 00400024 | 00108820 0 0  0 16 17 | 00000000 00000000 | 00000001 00000000 |  0  10010000
  0000a | 00400028 | 0c10000e 0 0  0  0 31 | 00000000 10010000 | 00000000 00000000 |  2  00000001
  0000b | 00400038 | afbf0000 0 1 29 31  0 | 00000000 0000000e | 10010000 10010000 |  0  00000000
  0000c | 0040003c | 23bdfff8 0 0 29  0 29 | 10017ffc 00000000 | 0040002c 00000000 | 17  10010000
  0000d | 00400040 | afbf0004 0 1 29 31  0 | 10017ffc fffffff8 | 10017ffc 0040002c | 31  0040002c
  0000e | 00400044 | 28880001 0 0  4  0  8 | 10017ff4 00000004 | 10017ff4 00000000 |  0  10017ffc
  0000f | 00400048 | 11000004 1 0  8  0  0 | 00000006 00000001 | 10017ff8 0040002c | 29  10017ff4
  00010 | 00400048 | 11000004 0 1  8  0  0 | 00000000 00000000 | 00000000 00000000 |  0  10017ff8
  00011 | 00400058 | afb00000 0 0 29 16  0 | 00000000 00000004 | 00000000 00000000 |  8  00000000
  00012 | 0040005c | 00048020 0 0  0  4 16 | 10017ff4 00000000 | 00000000 00000000 |  0  00000000
  00013 | 00400060 | 0c10000e 0 0  0  0 31 | 00000000 00000006 | 10017ff4 10010000 |  0  00000000
  00014 | 00400038 | 2084ffff 0 0  4  0  4 | 00000000 0000000e | 00000006 00000006 |  0  10017ff4
  00015 | 0040003c | 23bdfff8 0 0 29  0 29 | 00000006 ffffffff | 00400064 00000000 | 16  00000006
